ID	LEMMA	UPOS	GENERE	WRITTEN REPRESENTATION	ID LEMMA VARIANT	TRADUZIONI	URI ITALIANO
10791	vietatu	ADJ	m	["vietatu"]	[]	["vietato"]	["http://liita.it/data/id/hypolemma/32318"]
10792	ritirari	VERB		["ritirari","arritirari"]	[]	["ritirare"]	["http://liita.it/data/id/lemma/1031434"]
10793	istintu	NOUN	m	["stintu","istintu"]	[]	["istinto","instinto"]	["http://liita.it/data/id/lemma/1004245"]
10795	divietu	ADJ	m	["divietu"]	[]	["proibito"]	["http://liita.it/data/id/hypolemma/27909"]
10796	duru	ADJ	m	["ruru","duru"]	[]	["duro"]	["http://liita.it/data/id/lemma/987253"]
10798	eccu	ADV		["eccu"]	[]	["ecco"]	["http://liita.it/data/id/lemma/987390"]
10805	dilicatu	ADJ	m	["dilicatu"]	[]	["sensibile","delicato"]	["http://liita.it/data/id/lemma/982965","http://liita.it/data/id/lemma/1037036"]
10806	distanti	ADJ	m	["distanti"]	[]	["distante"]	["http://liita.it/data/id/hypolemma/24679"]
10807	struiri	VERB		["struiri"]	[]	["istruire"]	["http://liita.it/data/id/lemma/1004281"]
10808	quetu	ADJ	m	["quetu","cuetu"]	[]	["tranquillo","quieto"]	["http://liita.it/data/id/lemma/1025693","http://liita.it/data/id/lemma/1047954"]
10810	dorsu	NOUN	m	["dorsu"]	[]	["dosso","dorso"]	["http://liita.it/data/id/lemma/986899","http://liita.it/data/id/lemma/986883"]
10811	gravi	ADJ	m	["gravi"]	[]	["grave"]	["http://liita.it/data/id/lemma/1056874"]
10812	effittivu	ADJ	m	["effittivu","effettivu"]	[]	["effettivo"]	["http://liita.it/data/id/lemma/987657"]
10814	quali	ADJ	m/f	["quali"]	[]	["quale"]	["http://liita.it/data/id/lemma/1125677"]
10815	quali	PRON	m/f	["quali"]	[]	["quale"]	["http://liita.it/data/id/lemma/1121143"]
10816	ntrata	NOUN	f	["intrata","ntrata"]	[]	["entrata"]	["http://liita.it/data/id/lemma/1091875"]
10818	nternazziunali	ADJ	m	["ntirnaziunali","ntirnazziunali","nternazziunali","nternaziunali"]	[]	["internazionale"]	["http://liita.it/data/id/lemma/1057244"]
10822	mmitu	NOUN	m	["nvitu","mmitu"]	[]	["invito"]	["http://liita.it/data/id/lemma/1057323"]
10824	mmurtali	ADJ	m	["mmurtali","immurtali"]	[]	["immortale"]	["http://liita.it/data/id/lemma/998675"]
10826	nfizzioni	NOUN	f	["nfezioni","nfezzioni","nfizzioni","nfizioni"]	[]	["infezione"]	["http://liita.it/data/id/lemma/1001103"]
10830	ncruciamentu	NOUN	m	["incruciamentu","ncruciamentu"]	[]	["incrocio","incrociamento"]	["http://liita.it/data/id/lemma/1000412","http://liita.it/data/id/lemma/1000405"]
10832	ncartari	VERB		["ncartari","incartari"]	[]	["incartare"]	["http://liita.it/data/id/lemma/999839"]
10834	nclusu	ADJ	m	["inclusu","nclusu"]	[]	["incluso"]	["http://liita.it/data/id/hypolemma/25996"]
10836	doccia	NOUN	f	["duccia","doccia"]	[]	["doccia"]	["http://liita.it/data/id/lemma/1055846"]
10838	enormi	ADJ	m	["enormi"]	[]	["enorme"]	["http://liita.it/data/id/lemma/988710"]
10840	mpurtari	VERB		["impurtari","mpurtari"]	[]	["importare"]	["http://liita.it/data/id/lemma/999224","http://liita.it/data/id/lemma/999223"]
10842	mmigranti	NOUN	m	["immigranti","mmigranti"]	[]	["immigrante"]	["http://liita.it/data/id/lemma/1057015"]
10844	irrigulari	ADJ	m	["irrigulari"]	[]	["irregolare"]	["http://liita.it/data/id/lemma/1093508"]
10845	diviazzioni	NOUN	f	["diviazzioni","diviazioni"]	[]	["deviazione"]	["http://liita.it/data/id/lemma/983753"]
10847	esitari	VERB		["esitari"]	[]	["esitare"]	["http://liita.it/data/id/lemma/989758"]
10848	ncirari	VERB		["ncirari","incirari"]	[]	["incerare"]	["http://liita.it/data/id/lemma/999965"]
10850	ispizzioni	NOUN	f	["ispizioni","ispizzioni","ispezioni","spizioni","spizzioni","ispezzioni"]	[]	["ispezione"]	["http://liita.it/data/id/lemma/1004179"]
10856	frenu	NOUN	m	["frenu"]	[]	["freno"]	["http://liita.it/data/id/lemma/1092460"]
10860	gelu	NOUN	m	["ielu","jelu","gelu"]	[]	["gelo"]	["http://liita.it/data/id/lemma/994967","http://liita.it/data/id/lemma/994989"]
10863	facciali	ADJ	m	["facciali"]	[]	["facciale"]	["http://liita.it/data/id/lemma/990792"]
10864	eriditari	VERB		["eriditari"]	[]	["ereditare"]	["http://liita.it/data/id/lemma/989236"]
10865	riditari	VERB		["riditari"]	[]	["ereditare"]	["http://liita.it/data/id/lemma/989236"]
10866	direzzioni	NOUN	f	["dirizzioni","direzioni","direzzioni"]	[]	["direzione"]	["http://liita.it/data/id/lemma/984685"]
10868	direttu	ADJ	m	["direttu"]	[]	["diretto"]	["http://liita.it/data/id/lemma/1121221","http://liita.it/data/id/hypolemma/24345"]
10869	ncantu	NOUN	m	["ncantu","incantu"]	[]	["incanto"]	["http://liita.it/data/id/lemma/1093103","http://liita.it/data/id/lemma/999762"]
10871	dipusitari	VERB		["dipusitari"]	[]	["depositare"]	["http://liita.it/data/id/lemma/983316"]
10872	scunvinienti	ADJ	m	["scunvinienti"]	[]	["indecente"]	["http://liita.it/data/id/lemma/1000509"]
10873	sbuturatu	ADJ	m	["sbuturatu"]	[]	["insaziabile"]	["http://liita.it/data/id/lemma/1001973"]
10874	digiriri	VERB		["digiriri"]	[]	["digerire"]	["http://liita.it/data/id/lemma/984254"]
10875	addiggiriri	VERB		["addiggiriri"]	[]	["digerire"]	["http://liita.it/data/id/lemma/984254"]
10876	addigiriri	VERB		["addigiriri"]	[]	["digerire"]	["http://liita.it/data/id/lemma/984254"]
10878	cìrculu	NOUN	m	["cìrculu"]	[]	["circolo"]	["http://liita.it/data/id/lemma/976873"]
10879	dumani	ADV	m	["dumani","annumani","rumani"]	[]	["domani"]	["http://liita.it/data/id/lemma/1091586"]
10882	njilari	VERB		["njilari"]	[]	["gelare"]	["http://liita.it/data/id/lemma/994970"]
10891	vurza	NOUN	f	["vuzza","burza","vurza"]	[]	["borsa"]	["http://liita.it/data/id/lemma/971162","http://liita.it/data/id/lemma/971161"]
10896	vuàutri	PRON	m/f	["vuiàvutri","vuàutri","vàutri","viatri","vatri","vantri","vuantri","vuiatri","vuiàutri","vàvutri","vuatri","viàvutri","viàutri","vuàvutri"]	[]	["voi","voialtri","voialtre"]	["http://liita.it/data/id/lemma/1052530","http://liita.it/data/id/lemma/1052531","http://liita.it/data/id/lemma/1121101"]
10915	Terra	PROPN	f	["Terra"]	[]	["Terra"]	[]
10916	a munzidduni	ADV		["a munzidduni"]	[]	["in abbondanza","a bizzeffe"]	[]
10917	a mmunzidduni	ADV		["a mmunzidduni"]	[]	["in abbondanza","a bizzeffe"]	[]
10918	ammunzidduni	ADV		["ammunzidduni"]	[]	["in abbondanza","a bizzeffe"]	[]
